Target_ID,Target_Name,Center_WKT
anmyeondoKo,"Anmyeondo, South Korea",POINT (126.37 36.62)
ascensionIsland,Ascension Island,POINT (-14.39 -7.95)
bialystokPl,"Bialystok, Poland",POINT (23.08 53.2)
boulderCO,"Boulder, CO",POINT (-104.24 39.91)
bremenDe,"Bremen, Germany",POINT (8.85 53.1)
caltechCA,"Caltech, Pasadena, CA",POINT (-118.07 34.12)
darwinAu,"ARM TWP - Darwin, Aus",POINT (130.92 -12.38)
drydenCA,"Armstrong FRC, CA",POINT (-117.88 34.96)
eurekaCa,"Eureka, Canada",POINT (-86.42 80.05)
fairbanksAK,"Fairbanks, AK",POINT (-147.83 64.86)
izanaTenerifeEs,"Izana, Tenerife, Spain",POINT (-16.52 28.3)
karlsruheDe,"Karlsruhe, Germany",POINT (8.44 49.1)
lamontOK,"SGP ARM Site, Lamont OK",POINT (-97.49 36.6)
lauderNz,"Lauder, NZ",POINT (169.69 -45)
libya4,Libya4,POINT (23.39 28.55)
litchfieldAu,"Litchfield, Australia",POINT (130.79 -13.18)
manausBR,"Manaus, Brazil",POINT (-60.6 -3.21)
mexicoCityMx,"Mexico City, Mexico",POINT (-99.14 19.43)
orleansFr,"Orleans, France",POINT (2.11 47.96)
parisFr,"Paris, France",POINT (2.36 48.85)
parkFallsWI,"Park Falls, WI",POINT (-90.27 45.94)
railroadValley,Railroad Valley,POINT (-115.69 38.5)
reunionIsland,Reunion Island,POINT (55.52 -20.91)
rikubetsuJp,"Rikubetsu, Japan",POINT (143.7 43.45)
rosemountMN,"Rosemount, Minnesota",POINT (-93.03 44.69)
sagaJp,"Saga, Japan",POINT (130.29 33.24)
saoPauloBr,"Sau Paulo, Brazil",POINT (-46.63 -23.54)
shanghaiCh,"Shanghai, China",POINT (121.46 31.22)
sodankylaFi,"Sodankyla, Finland",POINT (26.63 67.37)
tsukubaJp,"Tsukuba, Japan",POINT (140.12 36.05)
wollongongAu,"Wollongong, Aus",POINT (150.85 -34.45)